branch,input_ng,rt_bin,phospho_sum_mean
hybrid,1000,5.75,4311232.510990381
hybrid,1000,6.25,3415326.6365841925
hybrid,1000,6.75,5187004.398234934
hybrid,1000,7.25,4034174.5162038803
hybrid,1000,7.75,4332990.479878247
hybrid,1000,8.25,3486797.767001331
hybrid,1000,8.75,3783597.2628338933
hybrid,1000,9.25,3342555.26467669
hybrid,1000,9.75,5441438.7574418485
hybrid,1000,10.25,4226289.729548603
hybrid,1000,10.75,2428950.1651244164
hybrid,1000,11.25,2685307.3882964253
hybrid,1000,11.75,2988385.5133258402
hybrid,1000,12.25,2690126.6276097
hybrid,1000,12.75,2297273.8321985006
hybrid,1000,13.25,2201238.5073361993
hybrid,1000,13.75,1184528.037481159
hybrid,1000,14.25,478677.9014695883
hybrid,1000,14.75,40517.975386977196
hybrid,1000,15.25,10259.21385025978
hybrid,1000,15.75,133.5797928571701
wCleanup,10,4.25,5090.570139884949
wCleanup,10,4.75,22410.293076515198
wCleanup,10,5.25,22699.98013174534
wCleanup,10,5.75,19866.58524298668
wCleanup,10,6.25,39580.97511857748
wCleanup,10,6.75,20417.09351670742
wCleanup,10,7.25,27897.308824896812
wCleanup,10,7.75,24845.892404168844
wCleanup,10,8.25,37459.110908180475
wCleanup,10,8.75,24410.181013524532
wCleanup,10,9.25,75565.70043569803
wCleanup,10,9.75,31848.98328602314
wCleanup,10,10.25,40786.49745604396
wCleanup,10,10.75,15106.636560857296
wCleanup,10,11.25,14721.725157499313
wCleanup,10,11.75,35829.74515515566
wCleanup,10,12.25,47740.41922914982
wCleanup,10,12.75,17359.647057324648
wCleanup,10,13.25,16247.07759898901
wCleanup,10,13.75,5330.499259889126
wCleanup,10,14.25,3578.3020490407944
wCleanup,10,14.75,257.08379673957825
wCleanup,10,15.25,28.364845752716064
wCleanup,20,4.25,14989.2468547225
wCleanup,20,4.75,64337.81067997217
wCleanup,20,5.25,82282.28586223722
wCleanup,20,5.75,76097.82564416528
wCleanup,20,6.25,103470.41028869152
wCleanup,20,6.75,79356.15269765258
wCleanup,20,7.25,81721.70411157608
wCleanup,20,7.75,84265.40685296059
wCleanup,20,8.25,94208.86883288622
wCleanup,20,8.75,72761.79023495317
wCleanup,20,9.25,130838.6700809896
wCleanup,20,9.75,64144.32505005598
wCleanup,20,10.25,77338.08464968204
wCleanup,20,10.75,45517.40965154767
wCleanup,20,11.25,78196.17130857706
wCleanup,20,11.75,72588.75883758068
wCleanup,20,12.25,73892.65336740017
wCleanup,20,12.75,44882.275951087475
wCleanup,20,13.25,38754.061832726
wCleanup,20,13.75,13965.692752361298
wCleanup,20,14.25,6933.833186030388
wCleanup,20,14.75,881.8359894752502
wCleanup,20,15.25,65.04645919799805
wCleanup,50,4.25,73614.94396436214
wCleanup,50,4.75,261981.4541181624
wCleanup,50,5.25,347386.8721832931
wCleanup,50,5.75,354267.1870505214
wCleanup,50,6.25,465206.54984652996
wCleanup,50,6.75,388282.51651376486
wCleanup,50,7.25,367964.587675333
wCleanup,50,7.75,352763.95871794224
wCleanup,50,8.25,349171.9602601528
wCleanup,50,8.75,349317.46731457114
wCleanup,50,9.25,523041.30789870024
wCleanup,50,9.75,340954.1785980463
